UNITID,ROOM,APPLFEEU,ASSOC1,SPORT1,SPORT2,SPORT3,SPORT4,STUFACR
130590,1,65,1,1,1,1,1,9
130606,2,0,0,2,2,2,2,16
130624,1,0,1,1,1,1,1,7
130697,1,55,1,1,1,1,1,8
130776,1,50,1,1,1,1,2,12
130794,1,80,1,1,1,1,1,6
130837,2,30,-2,2,2,2,2,6
130873,2,25,-2,-2,-2,-2,-2,12
130882,-2,,-2,-2,-2,-2,-2,
130907,2,0,0,2,2,2,2,12
130934,1,35,1,1,1,1,1,16
130943,1,75,1,1,1,1,1,15
130989,1,0,1,2,1,1,1,19
131061,2,0,-2,-2,-2,-2,-2,11
131098,1,0,1,1,1,1,1,10
131113,2,35,1,2,1,1,1,12
131159,1,75,1,2,1,2,1,11
131283,1,,1,1,1,1,1,10
131399,2,35,1,2,1,2,1,9
131405,2,,0,2,2,2,2,
131450,1,50,1,1,1,1,1,6
131469,1,80,1,2,1,1,1,13
131496,1,75,1,1,1,1,1,11
131520,1,45,1,1,1,2,1,10
131803,2,0,0,2,2,2,2,69
131830,2,30,-2,2,2,2,2,6
131876,1,0,1,2,1,2,2,12
131973,1,,0,2,2,2,2,
132374,2,0,-2,2,2,2,2,17
132408,1,25,0,2,2,2,2,8
132471,1,0,1,2,1,1,2,12
132602,1,25,1,1,1,1,1,14
132657,1,0,1,2,1,1,1,18
132675,2,0,-2,-2,-2,-2,-2,6
132693,2,30,0,2,2,2,2,17
132709,2,35,0,2,2,2,2,31
132842,2,25,0,2,2,2,2,12
132851,2,30,0,2,2,2,2,21
132879,1,35,0,2,2,2,2,8
132903,1,30,1,1,1,1,1,30
132976,2,25,-2,2,2,2,2,15
133021,1,20,0,2,2,2,2,18
133155,2,40,-2,2,2,2,2,20
133386,2,0,0,2,2,2,2,20
133465,2,0,0,2,2,2,2,14
133492,1,40,1,2,1,1,2,12
133508,1,30,0,2,2,2,2,30
133526,1,25,0,1,1,1,1,23
